"","Word","Count","Type"
"1","help",232,"Pos"
"2","love",110,"Pos"
"3","great",87,"Pos"
"4","kind",55,"Pos"
"5","easy",47,"Pos"
"6","professional",34,"Pos"
"7","confident",30,"Pos"
"8","thank you",30,"Pos"
"9","appreciate",29,"Pos"
"10","highlight",28,"Pos"
"11","opportunities",25,"Pos"
"12","thanks",23,"Pos"
"13","super",21,"Pos"
"14","timely",20,"Pos"
"15","effective",17,"Pos"
"16","patient",14,"Pos"
"17","appreciated",13,"Pos"
"18","warm",12,"Pos"
"19","willing",12,"Pos"
"20","friendly",11,"Pos"
"21","capable",10,"Pos"
"22","confirmation",10,"Pos"
"23","prompt",10,"Pos"
"24","excellent",9,"Pos"
"25","speed",9,"Pos"
"26","generous",8,"Pos"
"27","awesome",7,"Pos"
"28","loving",7,"Pos"
"29","hard work",6,"Pos"
"30","devoted",5,"Pos"
"31","fantastic",5,"Pos"
"32","outstanding",5,"Pos"
"33","perseverance",5,"Pos"
"34","satisfied",5,"Pos"
"35","discipline",4,"Pos"
"36","pleasure",4,"Pos"
"37","skilled",4,"Pos"
"38","courteous",3,"Pos"
"39","responsive",3,"Pos"
"40","thorough",3,"Pos"
"41","very good",3,"Pos"
"42","above and beyond",2,"Pos"
"43","exceptional",2,"Pos"
"44","joyful",2,"Pos"
"45","knowledgeable",2,"Pos"
"46","always ready",1,"Pos"
"47","competent",1,"Pos"
"48","gracious",1,"Pos"
"49","many thanks",1,"Pos"
"50","many thanks",1,"Pos"
"51","priorities",1,"Pos"
"52","quicker",1,"Pos"
"53","straightforward",1,"Pos"
"54","upbeat",1,"Pos"
"55","very helpful",1,"Pos"
"56","issues",74,"Neg"
"57","problems",36,"Neg"
"58","challenge",34,"Neg"
"59","didn't",21,"Neg"
"60","doesn't",17,"Neg"
"61","appears",15,"Neg"
"62","implications",11,"Neg"
"63","endure",9,"Neg"
"64","slow",9,"Neg"
"65","not received",7,"Neg"
"66","not yet",7,"Neg"
"67","Enterprise",5,"Neg"
"68","upheaval",5,"Neg"
"69","forgotten",4,"Neg"
"70","not getting",4,"Neg"
"71","odd",4,"Neg"
"72","rushing",4,"Neg"
"73","apologize",3,"Neg"
"74","disconnect",3,"Neg"
"75","impacted",3,"Neg"
"76","suspect",3,"Neg"
"77","ended up",2,"Neg"
"78","hardship",2,"Neg"
"79","on hold",2,"Neg"
"80","too busy",2,"Neg"
"81","vague",2,"Neg"
"82","would like to know",2,"Neg"
"83","back and forth",1,"Neg"
"84","flawed",1,"Neg"
"85","hard time",1,"Neg"
"86","never know",1,"Neg"
"87","no more",1,"Neg"
"88","really need",1,"Neg"
"89","too much",1,"Neg"
"90","unresolved",1,"Neg"
"91","research",42,"Neu"
"92","simply",31,"Neu"
"93","feedback",11,"Neu"
"94","resolve",6,"Neu"
"95","uncovered",5,"Neu"
"96","customized",3,"Neu"
"97","forecasting",2,"Neu"
"98","newer",2,"Neu"
"99","not always",2,"Neu"
"100","not urgent",2,"Neu"
"101","might be helpful",1,"Neu"
"102","number of occasions",1,"Neu"
"103","should see",1,"Neu"
